answer,reasoning,confidence,input_tokens,output_tokens,duration,correct_answer,num_people,is_context
Error,Error,Error,Error,Error,Error,A,0,true
Error,Error,Error,Error,Error,Error,A,0,true
Error,Error,Error,Error,Error,Error,A,0,true
Error,Error,Error,Error,Error,Error,A,0,true
Error,Error,Error,Error,Error,Error,A,0,true
Error,Error,Error,Error,Error,Error,A,0,true
Error,Error,Error,Error,Error,Error,A,0,true
Error,Error,Error,Error,Error,Error,A,0,true
Error,Error,Error,Error,Error,Error,A,0,true
Error,Error,Error,Error,Error,Error,A,0,true
